       Размеры упорных  резьб в мм.
            (по ГОСТ 10177-82)
+-------------+----+-------+-------+-------+------+
|Обозначение  |Шаг |Наpуж- |Cредний|Внутрен|Фаска |
|  pезьбы     |    | ный   |диаметр| ний   |      |
|             |    |диаметp|       |диаметp|      |
|             |    |       |       |       |      |
+-------------+----+-------+-------+-------+------+
|  8x2        |2   |  8    |  7    |  5.5  |  1.6 |
|  10x2       |2   |  10   |  9    |  7.5  |  1.6 |
|  12x2       |2   |  12   | 11    |  9.5  |  1.6 |
|  14x2       |2   |  14   | 13    | 11.5  |  1.6 |
|  16x2       |2   |  16   | 15    | 13.5  |  1.6 |
|  18x2       |2   |  18   | 17    | 15.5  |  1.6 |
|  20x2       |2   |  20   | 19    | 17.5  |  1.6 |
|  22x2       |2   |  22   | 21    | 19.5  |  1.6 |
|  24x2       |2   |  24   | 23    | 21.5  |  1.6 |
|  26x2       |2   |  26   | 25    | 23.5  |  1.6 |
|  28x2       |2   |  28   | 27    | 25.5  |  1.6 |
|    10x3     |3   |  10   |  8.5  |  6.5  |  2   |
|    12x3     |3   |  12   | 10.5  |  8.5  |  2   |
|    14x3     |3   |  14   | 12.5  | 10.5  |  2   |
|    30x3     |3   |  30   | 28.5  | 26.5  |  2   |
|    32x3     |3   |  32   | 30.5  | 28.5  |  2   |
|    34x3     |3   |  34   | 32.5  | 30.5  |  2   |
|    36x3     |3   |  36   | 34.5  | 32.5  |  2   |
|    38x3     |3   |  38   | 36.5  | 34.5  |  2   |
|    40x3     |3   |  40   | 38.5  | 36.5  |  2   |
|    42x3     |3   |  42   | 40.5  | 38.5  |  2   |
|    44x3     |3   |  44   | 42.5  | 40.5  |  2   |
|    46x3     |3   |  46   | 44.5  | 42.5  |  2   |
|    48x3     |3   |  48   | 46.5  | 44.5  |  2   |
|    50x3     |3   |  50   | 48.5  | 46.5  |  2   |
|    52x3     |3   |  52   | 50.5  | 48.5  |  2   |
|    55x3     |3   |  55   | 53.5  | 51.5  |  2   |
|    60x3     |3   |  60   | 58.5  | 56.5  |  2   |
|  16x4       |4   |  16   | 14    | 11.5  |  2.5 |
|  18x4       |4   |  18   | 16    | 13.5  |  2.5 |
|  20x4       |4   |  20   | 18    | 15.5  |  2.5 |
|  65x4       |4   |  65   | 63    | 60.5  |  2.5 |
|  70x4       |4   |  70   | 68    | 65.5  |  2.5 |
|  75x4       |4   |  75   | 73    | 70.5  |  2.5 |
|  80x4       |4   |  80   | 78    | 75.5  |  2.5 |
|    22x5     |5   |  22   | 19.5  | 16.5  |  3   |
|    24x5     |5   |  24   | 21.5  | 18.5  |  3   |
|    26x5     |5   |  26   | 23.5  | 20.5  |  3   |
|    28x5     |5   |  28   | 25.5  | 22.5  |  3   |
|    85x5     |5   |  85   | 82.5  | 79.5  |  3   |
|    90x5     |5   |  90   | 87.5  | 84.5  |  3   |
|    95x5     |5   |  95   | 92.5  | 89.5  |  3   |
|    100x5    |5   |  100  | 97.5  | 94.5  |  3   |
|    110x5    |5   |  110  |107.5  |104.5  |  3   |
|  30x6       |6   |  30   | 27    | 23    |  3.5 |
|  32x6       |6   |  32   | 29    | 25    |  3.5 |
|  34x6       |6   |  34   | 31    | 27    |  3.5 |
|  36x6       |6   |  36   | 33    | 29    |  3.5 |
|  38x6       |6   |  38   | 35    | 31    |  3.5 |
|  40x6       |6   |  40   | 37    | 33    |  3.5 |
|  42x6       |6   |  42   | 39    | 35    |  3.5 |
|  120x6      |6   |  120  |117    |113    |  3.5 |
